frame,arquivo,gt,pred,levenshtein,acerto_por_letra,conf_media
25,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000025_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
26,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000026_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
27,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000027_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
28,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000028_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
29,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000029_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
30,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000030_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
31,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000031_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
32,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000032_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
33,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000033_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
34,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000034_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
35,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000035_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
36,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000036_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
37,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000037_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
38,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000038_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
39,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000039_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
40,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000040_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
41,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000041_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
42,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000042_pad32_0.jpg,TIMELESS,,8,0.0,-1.0
43,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000043_pad32_0.jpg,EEWABUG,FEWABUG,1,0.8571,4.0
44,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000044_pad32_0.jpg,EEWABUG,FEWABUG,1,0.8571,4.0
45,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000045_pad32_0.jpg,EEWABUG,FEWABUG,1,0.8571,4.0
46,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000046_pad32_0.jpg,EEWABUG,FEWABUG,1,0.8571,4.0
47,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000047_pad32_0.jpg,EEWABUG,FEWABUG,1,0.8571,4.0
48,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000048_pad32_0.jpg,EEWABUG,FEWABUG,1,0.8571,4.0
49,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000049_pad32_0.jpg,EEWABUG,FEWABUG,1,0.8571,4.0
50,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000050_pad32_0.jpg,EEWABUG,FEWABUG,1,0.8571,4.0
51,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000051_pad32_0.jpg,EEWABUG,FEWABUG,1,0.8571,4.0
52,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000052_pad32_0.jpg,EEWABUG,FEWABUG,1,0.8571,4.0
53,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000053_pad32_0.jpg,EEWABUG,FEWABUG,1,0.8571,4.0
54,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000054_pad32_0.jpg,EEWABUG,FFBUG,4,0.4286,15.3
55,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000055_pad32_0.jpg,EEWABUG,FFBUG,4,0.4286,15.3
56,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000056_pad32_0.jpg,EEWABUG,FFBUG,4,0.4286,15.3
57,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000057_pad32_0.jpg,EEWABUG,FFBUG,4,0.4286,15.3
58,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000058_pad32_0.jpg,EEWABUG,FFBUG,4,0.4286,15.3
59,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000059_pad32_0.jpg,EEWABUG,FFBUG,4,0.4286,15.3
60,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000060_pad32_0.jpg,EEWABUG,FFBUG,4,0.4286,15.3
61,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000061_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
62,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000062_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
63,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000063_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
64,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000064_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
65,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000065_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
66,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000066_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
67,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000067_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
68,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000068_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
69,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000069_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
70,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000070_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
71,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000071_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
72,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000072_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
73,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000073_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
74,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000074_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
75,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000075_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
76,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000076_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
77,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000077_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
78,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000078_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
79,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000079_pad32_0.jpg,PIKACHU,PIKACHU,0,1.0,15.3
80,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000080_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
81,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000081_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
82,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000082_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
83,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000083_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
84,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000084_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
85,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000085_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
86,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000086_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
87,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000087_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
88,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000088_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
89,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000089_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
90,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000090_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
91,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000091_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
92,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000092_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
93,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000093_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
94,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000094_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
95,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000095_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
96,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000096_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
97,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000097_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
98,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000098_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
99,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000099_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
100,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000100_pad32_0.jpg,OHIFIT,,6,0.0,-1.0
101,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000101_pad32_0.jpg,EWGAS,,5,0.0,-1.0
102,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000102_pad32_0.jpg,EWGAS,ST,5,0.0,-0.8
103,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000103_pad32_0.jpg,EWGAS,ST,5,0.0,-0.8
104,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000104_pad32_0.jpg,EWGAS,ST,5,0.0,-0.8
105,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000105_pad32_0.jpg,EWGAS,ST,5,0.0,-0.8
106,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000106_pad32_0.jpg,EWGAS,ST,5,0.0,-0.8
107,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000107_pad32_0.jpg,EWGAS,,5,0.0,-1.0
108,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000108_pad32_0.jpg,EWGAS,,5,0.0,-1.0
109,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000109_pad32_0.jpg,EWGAS,,5,0.0,-1.0
110,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000110_pad32_0.jpg,EWGAS,,5,0.0,-1.0
111,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000111_pad32_0.jpg,EWGAS,,5,0.0,-1.0
112,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000112_pad32_0.jpg,EWGAS,,5,0.0,-1.0
113,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000113_pad32_0.jpg,EWGAS,,5,0.0,-1.0
114,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000114_pad32_0.jpg,EWGAS,,5,0.0,-1.0
115,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000115_pad32_0.jpg,EWGAS,,5,0.0,-1.0
116,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000116_pad32_0.jpg,EWGAS,,5,0.0,-1.0
117,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000117_pad32_0.jpg,EWGAS,,5,0.0,-1.0
118,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000118_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
119,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000119_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
120,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000120_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
121,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000121_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
122,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000122_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
123,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000123_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
124,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000124_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
125,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000125_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
126,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000126_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
127,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000127_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
128,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000128_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
129,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000129_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
130,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000130_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
131,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000131_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
132,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000132_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
133,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000133_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
134,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000134_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
135,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000135_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
136,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000136_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
137,C:\Users\isabel_martins\Documents\ASCAN\Comp_Cognitiva\Desafio\runs\predict_python\crops_margem_trintadois\placa\frame_000137_pad32_0.jpg,OFZELDA,IOFZELDA,1,0.8571,-0.8
